;ALIMENTADOR;Poste_qtd;_merge
1827;LDS 61297;;right_only
1828;LDS 61299;;right_only
1829;LDS 61139;;right_only
1830;LDS 30534;;right_only
1831;LDS 61265;;right_only
1832;LDS 60819;;right_only
1833;LDS 61906;;right_only
1834;LDS 61805;;right_only
1835;LDS 61704;;right_only
1836;LDS 61016;;right_only
1837;LDA PROJAC/NOVAIBC;;right_only
1838;LDA PASC/CARL;;right_only
1839;LDA AEROCLUBE;;right_only
1840;LDA PACUCARSEVERIANOPOLIXENAPEI;;right_only
1841;LDA RIQUE/LDA RIODESIGN;;right_only
1842;LDA GIBRAN/LDA ACHE;;right_only
1843;LDA ARCADIA;;right_only
1844;LDA TAMARATI/ LDA MAFREIRE;;right_only
1845;LDA RODOVIA;;right_only
1846;LDA FROLICK/LDA LIVRAMENTO;;right_only
1847;LDA TAMOIO;;right_only
1848;LDA HORTENCIA/CENTAUREA;;right_only
